transaction_id,transaction_date,store_location,product_id,product_name,product_category,quantity,unit_price,tipe_order,omzet,month,day,hour
TX00001,2026-01-01,Gading Serpong,106,Roti Bakar Bandung,Snack,1,18000,Dine-in,18000,January,Thursday,7
TX00002,2026-01-01,Senopati,102,Americano,Coffee,2,25000,Takeaway,50000,January,Thursday,7
TX00003,2026-01-01,Sudirman,101,Es Kopi Susu Gula Aren,Coffee,1,22000,Takeaway,22000,January,Thursday,7
TX00004,2026-01-01,Gading Serpong,101,Es Kopi Susu Gula Aren,Coffee,1,22000,Dine-in,22000,January,Thursday,7
TX00005,2026-01-01,Gading Serpong,101,Es Kopi Susu Gula Aren,Coffee,1,22000,Dine-in,22000,January,Thursday,7
TX00005,2026-01-01,Gading Serpong,102,Americano,Coffee,1,25000,Dine-in,25000,January,Thursday,7
TX00005,2026-01-01,Gading Serpong,107,Es Teh Manis,Non-Coffee,4,10000,Dine-in,40000,January,Thursday,7
TX00006,2026-01-01,Sudirman,104,Matcha Latte,Non-Coffee,1,28000,Dine-in,28000,January,Thursday,7
TX00006,2026-01-01,Sudirman,107,Es Teh Manis,Non-Coffee,1,10000,Dine-in,10000,January,Thursday,7
TX00006,2026-01-01,Sudirman,102,Americano,Coffee,1,25000,Dine-in,25000,January,Thursday,7
TX00007,2026-01-01,Senopati,103,Café Latte,Coffee,2,30000,Dine-in,60000,January,Thursday,7
TX00007,2026-01-01,Senopati,102,Americano,Coffee,1,25000,Dine-in,25000,January,Thursday,7
TX00008,2026-01-01,Senopati,107,Es Teh Manis,Non-Coffee,1,10000,Takeaway,10000,January,Thursday,7
TX00008,2026-01-01,Sudirman,101,Es Kopi Susu Gula Aren,Coffee,1,22000,Takeaway,22000,January,Thursday,7
TX00009,2026-01-01,Gading Serpong,107,Es Teh Manis,Non-Coffee,1,10000,Takeaway,10000,January,Thursday,7
TX00010,2026-01-01,Sudirman,107,Es Teh Manis,Non-Coffee,1,10000,Dine-in,10000,January,Thursday,7
