transaction_id,transaction_date,transaction_time,store_location,product_id,product_name,product_category,quantity,unit_price,tipe_order
TX27199,2026-02-21,21:09:47,Gading Serpong (Residential),107,Es Teh Manis,Non-Coffee,1,10000,Takeaway
TX15186,2026-04-03,08:35:03,sudirman (office),103,Café Latte,Coffee,2,30000,Takeaway
TX22510,2026-03-20,17:13:40,Gading Serpong (Residential),104,Matcha Latte,Non-Coffee,5,28000,Dine-in
TX27134,2026-06-20,15:32:30,Senopati (Hangout),107,Es Teh Manis,Non-Coffee,1,10000,Dine-in
TX35561,2026-02-21,18:57:17,Senopati (Hangout),102,Americano,Coffee,1,25000,Takeaway
TX19444,2026-03-13,17:37:28,Gading Serpong (Residential),105,Croissant Cokelat,Bakery,1,25000,Dine-in
TX18525,2026-02-03,14:05:20,Gading Serpong (Residential),105,Croissant Cokelat,Bakery,1,25000,Takeaway
TX33947,2026-04-04,20:20:22,Sudirman Office,105,Croissant Cokelat,Bakery,2,25000,Takeaway
TX12664,2026-06-21,19:19:45,Senopati (Hangout),101,Es Kopi Susu Gula Aren,Coffee,2,22000,DINE IN
TX04900,2026-05-20,07:39:00,Senopati (Hangout),104,Matcha Latte,Non-Coffee,1,28000,Takeaway
TX14880,2026-04-30,15:17:28,sudirman (office),102,Americano,Coffee,1,25000,Takeaway
TX19651,2026-05-18,08:42:25,Gading Serpong (Residential),104,Matcha Latte,Non-Coffee,1,28000,Dine-in
TX23432,2026-03-01,17:36:45,Gading Serpong (Residential),101,Es Kopi Susu Gula Aren,Coffee,2,22000,Takeaway
TX17634,2026-05-19,07:21:32,Sudirman Office,101,Es Kopi Susu Gula Aren,Coffee,1,22000,Dine-in
TX30619,2026-05-22,08:34:46,Sudirman (Office),106,Roti Bakar Bandung,Snack,1,18000,Dine-in
TX11577,2026-01-24,14:25:53,Gading Serpong (Residential),103,Café Latte,Coffee,4,30000,Dine-in
TX40883,2026-01-20,12:56:27,Senopati (Hangout),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Takeaway
TX10954,2026-01-15,09:44:30,Senopati (Hangout),107,Es Teh Manis,Non-Coffee,1,10000,Dine-in
TX40874,2026-02-18,13:00:58,Gading Serpong (Residential),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Takeaway
TX03813,2026-05-16,17:58:24,Sudirman Office,102,Americano,Coffee,1,25000,Dine-in
TX15052,2026-06-14,18:36:33,Gading Serpong (Residential),107,Es Teh Manis,Non-Coffee,1,10000,Dine-in
TX04396,2026-01-10,18:45:10,sudirman (office),102,Americano,Coffee,2,25000,Dine-in
TX34259,2026-02-28,15:22:15,Sudirman Office,101,Es Kopi Susu Gula Aren,Coffee,1,22000,Dine-in
TX06797,2026-04-20,08:33:46,Sudirman (Office),101,Es Kopi Susu Gula Aren,Coffee,3,22000,Dine-in
TX02914,2026-03-17,13:05:37,Gading Serpong (Residential),108,Kentang Goreng,Snack,1,20000,Takeaway
TX16931,2026-04-05,21:18:03,Gading Serpong (Residential),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Takeaway
TX40445,2026-03-29,13:56:24,Senopati (Hangout),102,Americano,Coffee,1,25000,Takeaway
TX27708,2026-04-18,16:18:09,Sudirman Office,104,Matcha Latte,Non-Coffee,1,28000,Takeaway
TX15437,2026-01-16,18:17:02,Senopati (Hangout),107,Es Teh Manis,Non-Coffee,2,10000,Takeaway
TX14708,2026-01-25,21:14:49,Senopati (Hangout),103,Café Latte,Coffee,1,30000,Takeaway
TX16017,2026-06-01,12:21:03,Senopati (Hangout),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Dine-in
TX41868,2026-04-12,13:45:22,Sudirman Office,101,Es Kopi Susu Gula Aren,Coffee,1,22000,Dine-in
TX19898,2026-02-28,21:37:15,sudirman (office),101,Es Kopi Susu Gula Aren,Coffee,3,22000,Dine-in
TX43539,2026-01-25,15:11:16,Senopati (Hangout),101,Es Kopi Susu Gula Aren,Coffee,3,22000,Dine-in
TX12848,2026-02-26,08:57:19,Senopati (Hangout),103,Café Latte,Coffee,1,30000,Takeaway
TX29665,2026-02-28,21:04:06,Sudirman Office,101,Es Kopi Susu Gula Aren,Coffee,1,22000,Dine-in
TX40522,2026-06-17,08:03:29,Gading Serpong (Residential),106,Roti Bakar Bandung,Snack,1,18000,Dine-in
TX14552,2026-06-24,12:09:09,sudirman (office),105,Croissant Cokelat,Bakery,1,25000,Dine-in
TX00952,2026-02-26,13:35:46,sudirman (office),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Takeaway
TX24334,2026-03-30,07:33:52,Senopati (Hangout),101,Es Kopi Susu Gula Aren,Coffee,3,22000,Dine-in
TX06968,2026-02-01,17:38:25,Sudirman (Office),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Takeaway
TX10535,2026-06-14,20:36:43,Gading Serpong (Residential),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Takeaway
TX29381,2026-01-30,08:12:28,Sudirman Office,105,Croissant Cokelat,Bakery,1,25000,Takeaway
TX24093,2026-01-11,10:17:24,Senopati (Hangout),101,Es Kopi Susu Gula Aren,Coffee,1,22000,DINE IN
TX41798,2026-05-10,16:12:16,Gading Serpong (Residential),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Takeaway
TX09868,2026-01-11,18:18:15,Gading Serpong (Residential),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Dine-in
TX35753,2026-04-03,08:54:58,sudirman (office),103,Café Latte,Coffee,1,30000,Takeaway
TX34364,2026-04-17,13:09:27,Senopati (Hangout),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Dine-in
TX08896,2026-05-03,10:26:01,Gading Serpong (Residential),101,Es Kopi Susu Gula Aren,Coffee,2,22000,Takeaway
TX43604,2026-01-28,08:50:27,Gading Serpong (Residential),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Takeaway
TX16140,2026-05-09,18:17:12,sudirman (office),103,Café Latte,Coffee,1,30000,takeaway
TX32010,2026-06-13,17:12:45,sudirman (office),106,Roti Bakar Bandung,Snack,1,18000,Dine-in
TX15269,2026-04-09,08:11:42,Sudirman Office,107,Es Teh Manis,Non-Coffee,3,10000,Takeaway
TX06485,2026-02-07,16:35:18,Senopati (Hangout),102,Americano,Coffee,1,25000,Takeaway
TX27448,2026-03-23,12:42:46,Senopati (Hangout),101,Es Kopi Susu Gula Aren,Coffee,1,22000,DINE IN
TX17429,2026-04-24,07:57:27,Senopati (Hangout),108,Kentang Goreng,Snack,2,20000,Dine-in
TX21739,2026-06-22,17:18:12,sudirman (office),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Takeaway
TX15731,2026-05-27,10:45:42,sudirman (office),103,Café Latte,Coffee,1,30000,Dine-in
TX18289,2026-01-01,07:21:35,Sudirman Office,101,Es Kopi Susu Gula Aren,Coffee,3,22000,Dine-in
TX17787,2026-02-01,19:35:19,Senopati (Hangout),103,Café Latte,Coffee,2,30000,Dine-in
TX30556,2026-06-27,19:00:12,sudirman (office),105,Croissant Cokelat,Bakery,3,25000,Takeaway
TX22350,2026-06-10,09:14:23,Senopati (Hangout),101,Es Kopi Susu Gula Aren,Coffee,2,22000,Dine-in
TX26663,2026-03-08,17:46:25,Gading Serpong (Residential),106,Roti Bakar Bandung,Snack,1,18000,Takeaway
TX23208,2026-05-16,17:43:45,Senopati (Hangout),101,Es Kopi Susu Gula Aren,Coffee,3,22000,Dine-in
TX27477,2026-03-11,07:19:47,Senopati (Hangout),107,Es Teh Manis,Non-Coffee,1,10000,Takeaway
TX38159,2026-06-05,18:07:03,Senopati (Hangout),101,Es Kopi Susu Gula Aren,Coffee,2,22000,Dine-in
TX15470,2026-05-31,21:20:41,Sudirman Office,106,Roti Bakar Bandung,Snack,4,18000,Dine-in
TX12222,2026-04-10,09:35:25,sudirman (office),101,Es Kopi Susu Gula Aren,Coffee,3,22000,Dine-in
TX35567,2026-05-23,17:34:21,Senopati (Hangout),101,Es Kopi Susu Gula Aren,Coffee,1,22000,takeaway
TX16163,2026-06-19,18:39:42,Senopati (Hangout),102,Americano,Coffee,2,25000,Takeaway
TX09490,2026-06-07,21:46:22,Gading Serpong (Residential),102,Americano,Coffee,1,25000,Takeaway
TX03382,2026-01-10,21:32:32,Senopati HANGOUT,107,Es Teh Manis,Non-Coffee,4,10000,Takeaway
TX14174,2026-06-20,17:03:00,Sudirman (Office),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Takeaway
TX15132,2026-06-06,14:15:29,Sudirman Office,101,Es Kopi Susu Gula Aren,Coffee,1,22000,Takeaway
TX29247,2026-05-02,19:13:11,Senopati (Hangout),102,Americano,Coffee,3,25000,Takeaway
TX29373,2026-04-27,15:36:44,sudirman (office),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Takeaway
TX11001,2026-02-28,20:08:27,Senopati (Hangout),107,Es Teh Manis,Non-Coffee,1,10000,Takeaway
TX21842,2026-01-20,13:26:37,Sudirman Office,102,Americano,Coffee,1,25000,Takeaway
TX00296,2026-03-03,08:01:02,Senopati (Hangout),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Takeaway
TX37086,2026-01-19,08:52:05,Senopati (Hangout),105,Croissant Cokelat,Bakery,1,25000,Takeaway
TX33647,2026-01-10,20:39:42,Senopati (Hangout),102,Americano,Coffee,1,25000,Dine-in
TX04986,2026-06-10,13:08:55,sudirman (office),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Dine-in
TX08484,2026-02-11,09:17:23,Sudirman Office,101,Es Kopi Susu Gula Aren,Coffee,1,22000,Dine-in
TX10425,2026-02-10,16:07:30,Senopati (Hangout),106,Roti Bakar Bandung,Snack,1,18000,Takeaway
TX05557,2026-05-22,07:53:17,Senopati HANGOUT,101,Es Kopi Susu Gula Aren,Coffee,4,22000,Takeaway
TX09605,2026-01-13,14:55:25,Senopati (Hangout),102,Americano,Coffee,2,25000,Dine-in
TX22898,2026-04-03,07:40:54,Sudirman (Office),101,Es Kopi Susu Gula Aren,Coffee,1,22000,DINE IN
TX20184,2026-06-05,08:58:05,Senopati (Hangout),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Takeaway
TX28886,2026-04-26,09:13:28,sudirman (office),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Takeaway
TX25506,2026-06-27,18:59:31,Senopati (Hangout),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Dine-in
TX28323,2026-01-06,07:44:12,Sudirman Office,107,Es Teh Manis,Non-Coffee,1,10000,Dine-in
TX11343,2026-03-10,07:21:22,Senopati (Hangout),102,Americano,Coffee,2,25000,Dine-in
TX14406,2026-06-27,19:43:44,Gading Serpong (Residential),107,Es Teh Manis,Non-Coffee,3,10000,Takeaway
TX21817,2026-05-03,18:42:20,Gading Serpong (Residential),107,Es Teh Manis,Non-Coffee,1,10000,Takeaway
TX33816,2026-05-01,20:39:31,Gading Serpong (Residential),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Dine-in
TX14967,2026-01-15,07:34:07,Sudirman (Office),102,Americano,Coffee,1,25000,Dine-in
TX00709,2026-02-28,20:27:46,Sudirman (Office),104,Matcha Latte,Non-Coffee,1,28000,Takeaway
TX02142,2026-02-13,09:24:01,sudirman (office),102,Americano,Coffee,1,25000,Takeaway
TX32635,2026-01-08,09:52:37,Gading Serpong (Residential),102,Americano,Coffee,2,25000,Takeaway
TX24511,2026-04-18,20:51:36,Sudirman Office,101,Es Kopi Susu Gula Aren,Coffee,1,22000,Dine-in
TX23140,2026-05-14,09:26:43,sudirman (office),107,Es Teh Manis,Non-Coffee,1,10000,Dine-in
TX42994,2026-06-02,17:00:42,Gading Serpong (Residential),104,Matcha Latte,Non-Coffee,1,28000,Takeaway
TX10870,2026-06-07,18:57:21,Senopati (Hangout),104,Matcha Latte,Non-Coffee,1,28000,Takeaway
TX40404,2026-03-21,13:01:17,Senopati (Hangout),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Dine-in
TX15924,2026-04-11,16:53:55,Senopati (Hangout),103,Café Latte,Coffee,1,30000,Takeaway
TX04672,2026-06-07,16:51:45,sudirman (office),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Dine-in
TX00724,2026-04-24,13:18:46,Gading Serpong (Residential),105,Croissant Cokelat,Bakery,1,25000,Dine-in
TX36965,2026-03-12,12:19:04,Senopati (Hangout),101,Es Kopi Susu Gula Aren,Coffee,3,22000,Takeaway
TX30490,2026-03-08,17:11:48,sudirman (office),102,Americano,Coffee,1,25000,Dine-in
TX21045,2026-01-06,08:22:28,Senopati (Hangout),107,Es Teh Manis,Non-Coffee,1,10000,Dine-in
TX28050,2026-05-31,19:27:04,Gading Serpong (Residential),108,Kentang Goreng,Snack,1,20000,Takeaway
TX04084,2026-04-04,21:13:22,Sudirman Office,101,Es Kopi Susu Gula Aren,Coffee,1,22000,Takeaway
TX11869,2026-05-30,17:53:38,Sudirman (Office),102,Americano,Coffee,1,25000,Dine-in
TX15749,2026-03-06,13:55:48,Senopati (Hangout),101,Es Kopi Susu Gula Aren,Coffee,2,22000,Takeaway
TX06806,2026-05-04,08:55:43,Sudirman (Office),101,Es Kopi Susu Gula Aren,Coffee,4,22000,Takeaway
TX15443,2026-03-01,16:19:50,Sudirman Office,103,Café Latte,Coffee,1,30000,Dine-in
TX05763,2026-04-27,07:19:16,Senopati (Hangout),103,Café Latte,Coffee,1,30000,Dine-in
TX25792,2026-03-29,17:18:18,Sudirman (Office),101,Es Kopi Susu Gula Aren,Coffee,1,22000,Dine-in
TX39503,2026-03-19,18:53:39,Senopati HANGOUT,103,Café Latte,Coffee,1,30000,Takeaway
